#截止2023-09-27，福建省福州市IP地址共计1186条记录，IP地址总数2582784。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
110.91.208.0	110.91.239.255	8192	电信
110.124.0.0	110.124.71.255	18432	移动
110.125.47.0	110.125.47.255	256	移动
110.125.100.0	110.125.103.255	1024	移动
110.125.168.0	110.125.175.255	2048	移动
110.236.0.0	110.237.255.255	131072	移动
111.142.32.0	111.142.39.255	2048	移动
111.142.96.0	111.142.111.255	4096	移动
111.142.128.0	111.142.139.255	3072	移动
111.143.48.0	111.143.51.255	1024	移动
111.143.56.0	111.143.75.255	5120	移动
111.144.16.0	111.144.27.255	3072	移动
111.145.8.0	111.145.15.255	2048	移动
111.145.60.0	111.145.79.255	5120	移动
111.146.32.0	111.146.63.255	8192	移动
111.147.176.0	111.147.191.255	4096	移动
111.147.208.0	111.147.223.255	4096	移动
111.147.248.0	111.147.252.255	1280	移动
111.147.254.0	111.147.255.255	512	移动
111.186.192.0	111.186.255.255	16384	教育网
112.5.88.0	112.5.95.255	2048	移动
112.5.128.0	112.5.159.255	8192	移动
112.5.184.0	112.5.193.255	2560	移动
112.5.197.0	112.5.199.255	768	移动
112.5.208.0	112.5.214.255	1792	移动
112.5.216.0	112.5.217.255	512	移动
112.5.221.0	112.5.223.255	768	移动
112.5.230.0	112.5.230.255	256	移动
112.5.234.0	112.5.238.255	1280	移动
112.5.240.0	112.5.240.255	256	移动
112.5.250.0	112.5.254.255	1280	移动
112.49.0.0	112.49.49.255	12800	移动
112.49.50.0	112.49.50.255	256	电信
112.49.51.0	112.49.255.255	52480	移动
112.50.196.0	112.50.200.255	1280	移动
112.50.212.0	112.50.214.255	768	移动
112.50.224.0	112.50.239.255	4096	移动
112.50.241.0	112.50.243.255	768	移动
112.50.245.0	112.51.31.255	11008	移动
112.51.107.0	112.51.111.255	1280	移动
112.54.32.0	112.54.47.255	4096	移动
112.111.0.0	112.111.63.255	16384	联通
113.18.0.0	113.18.7.255	2048	移动
113.18.16.0	113.18.31.255	4096	移动
113.18.34.0	113.18.34.255	256	电信
113.18.36.0	113.18.36.255	256	电信
113.18.39.0	113.18.39.255	256	电信
113.18.63.0	113.18.63.255	256	电信
113.18.64.0	113.18.95.255	8192	移动
113.18.96.0	113.18.112.255	4352	电信
113.18.121.0	113.18.121.255	256	电信
113.18.128.0	113.18.135.255	2048	移动
113.18.144.0	113.18.151.255	2048	电信
113.18.160.0	113.18.163.255	1024	电信
113.18.176.0	113.18.176.255	256	电信
113.18.184.0	113.18.187.255	1024	电信
113.18.189.0	113.18.189.255	256	移动
113.18.190.0	113.18.191.255	512	电信
113.18.192.0	113.18.223.255	8192	移动
113.18.224.0	113.18.255.255	8192	电信
115.168.44.0	115.168.44.255	256	电信
115.168.76.0	115.168.76.255	256	电信
117.25.0.0	117.25.127.255	32768	电信
117.27.64.0	117.27.95.255	8192	电信
117.27.128.0	117.27.159.255	8192	电信
117.27.224.0	117.27.255.255	8192	电信
117.28.192.0	117.28.231.255	10240	电信
117.29.0.0	117.29.63.255	16384	电信
117.29.96.0	117.29.159.255	16384	电信
117.30.12.0	117.30.13.255	512	电信
117.31.224.0	117.31.255.255	8192	电信
117.142.24.0	117.142.24.255	256	移动
120.32.32.0	120.32.127.255	24576	电信
120.35.0.0	120.35.63.255	16384	电信
120.36.0.0	120.36.127.255	32768	电信
120.38.160.0	120.38.191.255	8192	电信
120.39.32.0	120.39.63.255	8192	电信
120.39.192.0	120.39.223.255	8192	电信
120.39.240.0	120.39.244.255	1280	电信
120.39.248.0	120.39.248.255	256	电信
120.39.251.0	120.39.252.255	512	电信
120.39.254.0	120.40.127.255	33280	电信
120.41.254.0	120.41.254.255	256	电信
120.67.128.0	120.67.255.255	32768	世纪互联
121.204.0.0	121.204.191.255	49152	电信
121.207.192.0	121.207.255.255	16384	电信
122.48.181.0	122.48.181.255	256	中信网络
122.72.24.0	122.72.24.255	256	移动
122.72.36.0	122.72.36.255	256	移动
122.72.72.0	122.72.74.255	768	移动
122.90.0.0	122.90.2.255	768	移动
122.90.4.0	122.90.4.255	256	移动
122.90.8.0	122.90.19.255	3072	移动
122.90.23.0	122.90.39.255	4352	移动
122.90.48.0	122.90.127.255	20480	移动
122.90.152.0	122.90.175.255	6144	移动
122.90.184.0	122.91.7.255	20480	移动
122.91.112.0	122.91.119.255	2048	移动
122.91.136.0	122.91.159.255	6144	移动
122.91.188.0	122.91.191.255	1024	移动
122.91.236.0	122.91.247.255	3072	移动
122.91.252.0	122.91.253.255	512	移动
123.82.0.0	123.82.39.255	10240	移动
123.82.70.0	123.82.70.255	256	移动
123.82.104.0	123.82.107.255	1024	移动
123.82.124.0	123.82.131.255	2048	移动
123.82.134.0	123.82.135.255	512	移动
123.82.140.0	123.82.145.255	1536	移动
123.82.184.0	123.82.185.255	512	移动
123.82.210.0	123.82.211.255	512	移动
123.82.224.0	123.82.235.255	3072	移动
123.82.237.0	123.82.239.255	768	移动
123.82.242.0	123.82.243.255	512	移动
123.94.15.0	123.94.15.255	256	移动
123.196.64.0	123.196.67.255	1024	鹏博士
124.16.176.0	124.16.180.255	1280	科技网
124.16.208.0	124.16.211.255	1024	科技网
124.72.0.0	124.72.47.255	12288	电信
124.72.208.0	124.72.255.255	12288	电信
125.77.0.0	125.77.127.255	32768	电信
125.77.178.0	125.77.187.255	2560	电信
140.224.64.0	140.224.95.255	8192	电信
140.224.112.0	140.224.127.255	4096	电信
140.224.192.0	140.224.255.255	16384	电信
140.237.192.0	140.237.223.255	8192	电信
140.243.4.0	140.243.9.255	1536	电信
140.243.12.0	140.243.23.255	3072	电信
140.243.26.0	140.243.27.255	512	电信
140.243.42.0	140.243.42.255	256	电信
140.243.64.0	140.243.69.255	1536	电信
140.243.72.0	140.243.89.255	4608	电信
140.243.91.0	140.243.97.255	1792	电信
140.243.99.0	140.243.99.255	256	电信
140.243.101.0	140.243.101.255	256	电信
140.243.112.0	140.243.115.255	1024	电信
140.243.128.0	140.243.149.255	5632	电信
140.243.151.0	140.243.159.255	2304	电信
140.243.168.0	140.243.168.255	256	电信
140.243.174.0	140.243.174.255	256	电信
140.243.192.0	140.243.223.255	8192	电信
140.243.230.0	140.243.231.255	512	电信
140.243.238.0	140.243.247.255	2560	电信
150.242.96.0	150.242.99.255	1024	电信
159.226.150.0	159.226.150.255	256	科技网
175.42.0.0	175.42.63.255	16384	联通
175.44.176.0	175.44.179.255	1024	联通
175.44.184.0	175.44.185.255	512	联通
180.89.96.0	180.89.127.255	8192	鹏博士
182.157.0.0	182.157.255.255	65536	移动
183.250.8.0	183.250.9.255	512	移动
183.250.16.0	183.250.27.255	3072	移动
183.250.96.0	183.250.111.255	4096	移动
183.250.174.0	183.250.175.255	512	移动
183.250.184.0	183.250.207.255	6144	移动
183.251.0.0	183.251.15.255	4096	移动
183.251.61.0	183.251.62.255	512	移动
183.251.64.0	183.251.79.255	4096	移动
183.252.12.0	183.252.23.255	3072	移动
183.252.56.0	183.252.57.255	512	移动
183.252.164.0	183.252.165.255	512	移动
183.252.169.0	183.252.169.255	256	移动
183.252.174.0	183.252.176.255	768	移动
183.252.192.0	183.252.193.255	512	移动
202.0.100.0	202.0.101.255	512	电信
202.0.122.0	202.0.123.255	512	电信
202.3.128.0	202.3.129.255	512	电信
202.6.6.0	202.6.7.255	512	电信
202.6.66.0	202.6.67.255	512	电信
202.6.72.0	202.6.73.255	512	电信
202.6.87.0	202.6.89.255	768	电信
202.6.92.0	202.6.93.255	512	电信
202.6.103.0	202.6.103.255	256	电信
202.6.108.0	202.6.108.255	256	电信
202.6.110.0	202.6.111.255	512	电信
202.6.114.0	202.6.114.255	256	电信
202.8.0.0	202.8.0.255	256	电信
202.8.2.0	202.8.5.255	1024	电信
202.8.12.0	202.8.12.255	256	电信
202.8.24.0	202.8.24.255	256	电信
202.8.77.0	202.8.77.255	256	电信
202.9.32.0	202.9.32.255	256	电信
202.9.34.0	202.9.35.255	512	电信
202.9.48.0	202.9.49.255	512	电信
202.9.51.0	202.9.54.255	1024	电信
202.9.57.0	202.9.59.255	768	电信
202.12.1.0	202.12.2.255	512	电信
202.12.17.0	202.12.18.255	512	电信
202.12.72.0	202.12.72.255	256	电信
202.12.84.0	202.12.85.255	512	电信
202.12.96.0	202.12.96.255	256	电信
202.12.98.0	202.12.99.255	512	电信
202.12.106.0	202.12.106.255	256	电信
202.12.111.0	202.12.111.255	256	电信
202.12.116.0	202.12.116.255	256	电信
202.14.64.0	202.14.65.255	512	电信
202.14.69.0	202.14.69.255	256	电信
202.14.73.0	202.14.76.255	1024	电信
202.14.78.0	202.14.79.255	512	电信
202.14.88.0	202.14.88.255	256	电信
202.14.97.0	202.14.97.255	256	电信
202.14.104.0	202.14.105.255	512	电信
202.14.108.0	202.14.109.255	512	电信
202.14.111.0	202.14.111.255	256	电信
202.14.114.0	202.14.115.255	512	电信
202.14.118.0	202.14.119.255	512	电信
202.14.124.0	202.14.125.255	512	电信
202.14.127.0	202.14.127.255	256	电信
202.14.129.0	202.14.129.255	256	电信
202.14.135.0	202.14.136.255	512	电信
202.14.149.0	202.14.149.255	256	电信
202.14.151.0	202.14.151.255	256	电信
202.14.157.0	202.14.159.255	768	电信
202.14.169.0	202.14.171.255	768	电信
202.14.176.0	202.14.176.255	256	电信
202.14.184.0	202.14.185.255	512	电信
202.14.208.0	202.14.209.255	512	电信
202.14.213.0	202.14.213.255	256	电信
202.14.219.0	202.14.220.255	512	电信
202.14.222.0	202.14.223.255	512	电信
202.14.225.0	202.14.227.255	768	电信
202.14.231.0	202.14.231.255	256	电信
202.14.239.0	202.14.239.255	256	电信
202.14.246.0	202.14.246.255	256	电信
202.14.251.0	202.14.251.255	256	电信
202.20.66.0	202.20.66.255	256	电信
202.20.79.0	202.20.79.255	256	电信
202.20.87.0	202.20.90.255	1024	电信
202.20.94.0	202.20.95.255	512	电信
202.20.114.0	202.20.114.255	256	电信
202.20.117.0	202.20.117.255	256	电信
202.20.120.0	202.20.120.255	256	电信
202.20.125.0	202.20.125.255	256	电信
202.20.127.0	202.20.127.255	256	电信
202.21.131.0	202.21.132.255	512	电信
202.21.141.0	202.21.142.255	512	电信
202.21.147.0	202.21.148.255	512	电信
202.21.150.0	202.21.154.255	1280	电信
202.21.156.0	202.21.156.255	256	电信
202.27.136.0	202.27.137.255	512	电信
202.38.0.0	202.38.1.255	512	电信
202.38.130.0	202.38.131.255	512	电信
202.38.136.0	202.38.137.255	512	电信
202.38.142.0	202.38.143.255	512	电信
202.38.149.0	202.38.151.255	768	电信
202.38.154.0	202.38.156.255	768	电信
202.38.158.0	202.38.159.255	512	电信
202.38.168.0	202.38.170.255	768	电信
202.40.4.0	202.40.5.255	512	电信
202.40.7.0	202.40.7.255	256	电信
202.40.15.0	202.40.15.255	256	电信
202.40.135.0	202.40.136.255	512	电信
202.40.140.0	202.40.140.255	256	电信
202.40.143.0	202.40.145.255	768	电信
202.40.150.0	202.40.150.255	256	电信
